type,minute,extra,player,club,action,game_id
Substitutions,46,,{'href': '/hugo/profil/spieler/740157'},"{'name': 'Botafogo de Futebol e Regatas', 'href': '/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/cuiabano/profil/spieler/891353'}, 'player_assist': {'href': None}}",4316291
Substitutions,57,,{'href': '/luiz-henrique/profil/spieler/800175'},"{'name': 'Botafogo de Futebol e Regatas', 'href': '/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/oscar-romero/profil/spieler/217886'}, 'player_assist': {'href': None}}",4316291
Substitutions,58,,{'href': '/everton-ribeiro/profil/spieler/52896'},"{'name': 'Esporte Clube Bahia', 'href': '/esporte-clube-bahia/startseite/verein/10010/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/rezende/profil/spieler/793815'}, 'player_assist': {'href': None}}",4316291
Substitutions,58,,{'href': '/everaldo/profil/spieler/205041'},"{'name': 'Esporte Clube Bahia', 'href': '/esporte-clube-bahia/startseite/verein/10010/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/ademir/profil/spieler/544259'}, 'player_assist': {'href': None}}",4316291
Substitutions,72,,{'href': '/jeffinho/profil/spieler/884072'},"{'name': 'Botafogo de Futebol e Regatas', 'href': '/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/diego-hernandez/profil/spieler/800732'}, 'player_assist': {'href': None}}",4316291
Substitutions,72,,{'href': '/danilo-barbosa/profil/spieler/273438'},"{'name': 'Botafogo de Futebol e Regatas', 'href': '/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/gregore/profil/spieler/546036'}, 'player_assist': {'href': None}}",4316291
Substitutions,72,,{'href': '/caio-alexandre/profil/spieler/727751'},"{'name': 'Esporte Clube Bahia', 'href': '/esporte-clube-bahia/startseite/verein/10010/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/carlos-de-pena/profil/spieler/257740'}, 'player_assist': {'href': None}}",4316291
Substitutions,77,,{'href': '/cauly/profil/spieler/162812'},"{'name': 'Esporte Clube Bahia', 'href': '/esporte-clube-bahia/startseite/verein/10010/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/biel/profil/spieler/875328'}, 'player_assist': {'href': None}}",4316291
Substitutions,78,,{'href': '/thaciano/profil/spieler/392487'},"{'name': 'Esporte Clube Bahia', 'href': '/esporte-clube-bahia/startseite/verein/10010/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/rafael-ratao/profil/spieler/289802'}, 'player_assist': {'href': None}}",4316291
Substitutions,82,,{'href': '/damian-suarez/profil/spieler/76746'},"{'name': 'Botafogo de Futebol e Regatas', 'href': '/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/alexander-barboza/profil/spieler/379752'}, 'player_assist': {'href': None}}",4316291
Cards,36,,{'href': '/kanu/profil/spieler/524446'},"{'name': 'Esporte Clube Bahia', 'href': '/esporte-clube-bahia/startseite/verein/10010/saison_id/2023'}","{'result': None, 'description': '1. Yellow card  , Foul', 'player_in': {'href': None}, 'player_assist': {'href': None}}",4316291
Cards,77,,{'href': '/rezende/profil/spieler/793815'},"{'name': 'Esporte Clube Bahia', 'href': '/esporte-clube-bahia/startseite/verein/10010/saison_id/2023'}","{'result': None, 'description': '1. Yellow card  , Foul', 'player_in': {'href': None}, 'player_assist': {'href': None}}",4316291
Cards,82,,{'href': '/bastos/profil/spieler/195810'},"{'name': 'Botafogo de Futebol e Regatas', 'href': '/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2023'}","{'result': None, 'description': '1. Yellow card  , Foul', 'player_in': {'href': None}, 'player_assist': {'href': None}}",4316291
Cards,90,5.0,{'href': '/alexander-barboza/profil/spieler/379752'},"{'name': 'Botafogo de Futebol e Regatas', 'href': '/botafogo-rio-de-janeiro/startseite/verein/537/saison_id/2023'}","{'result': None, 'description': '1. Yellow card  , Foul', 'player_in': {'href': None}, 'player_assist': {'href': None}}",4316291
Goals,26,,{'href': '/erick/profil/spieler/633212'},"{'name': 'Club Athletico Paranaense', 'href': '/club-athletico-paranaense/startseite/verein/679/saison_id/2023'}","{'result': '1:0', 'description': ', Tap-in, 1. Goal of the Season Assist: , Cross, 2. Assist of the Season', 'player_in': {'href': None}, 'player_assist': {'href': '/lucas-esquivel/leistungsdatendetails/spieler/829969/saison/2023/wettbewerb/BRA1'}}",4316294
Substitutions,10,,{'href': '/agustin-canobbio/profil/spieler/457533'},"{'name': 'Club Athletico Paranaense', 'href': '/club-athletico-paranaense/startseite/verein/679/saison_id/2023'}","{'result': None, 'description': ', Injury', 'player_in': {'href': '/julimar/profil/spieler/593205'}, 'player_assist': {'href': None}}",4316294
Substitutions,23,,{'href': '/rossi/profil/spieler/212114'},"{'name': 'Clube de Regatas Vasco da Gama', 'href': '/vasco-da-gama-rio-de-janeiro/startseite/verein/978/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/joao-victor/profil/spieler/671145'}, 'player_assist': {'href': None}}",4316294
Substitutions,59,,{'href': '/tomas-cuello/profil/spieler/503052'},"{'name': 'Club Athletico Paranaense', 'href': '/club-athletico-paranaense/startseite/verein/679/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/nikao/profil/spieler/149572'}, 'player_assist': {'href': None}}",4316294
Substitutions,59,,{'href': '/leonardo-godoy/profil/spieler/369556'},"{'name': 'Club Athletico Paranaense', 'href': '/club-athletico-paranaense/startseite/verein/679/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/madson/profil/spieler/177845'}, 'player_assist': {'href': None}}",4316294
Substitutions,69,,{'href': '/pablo/profil/spieler/148765'},"{'name': 'Club Athletico Paranaense', 'href': '/club-athletico-paranaense/startseite/verein/679/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/gonzalo-mastriani/profil/spieler/195882'}, 'player_assist': {'href': None}}",4316294
Substitutions,69,,{'href': '/bruno-zapelli/profil/spieler/711600'},"{'name': 'Club Athletico Paranaense', 'href': '/club-athletico-paranaense/startseite/verein/679/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/alex-santana/profil/spieler/219835'}, 'player_assist': {'href': None}}",4316294
Substitutions,73,,{'href': '/pablo-vegetti/profil/spieler/334229'},"{'name': 'Clube de Regatas Vasco da Gama', 'href': '/vasco-da-gama-rio-de-janeiro/startseite/verein/978/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/erick-marcus/profil/spieler/834481'}, 'player_assist': {'href': None}}",4316294
Substitutions,74,,{'href': '/mateus-carvalho/profil/spieler/862574'},"{'name': 'Clube de Regatas Vasco da Gama', 'href': '/vasco-da-gama-rio-de-janeiro/startseite/verein/978/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/juan-sforza/profil/spieler/659264'}, 'player_assist': {'href': None}}",4316294
Substitutions,86,,{'href': '/paulo-henrique/profil/spieler/412594'},"{'name': 'Clube de Regatas Vasco da Gama', 'href': '/vasco-da-gama-rio-de-janeiro/startseite/verein/978/saison_id/2023'}","{'result': None, 'description': ', Tactical', 'player_in': {'href': '/clayton/profil/spieler/733579'}, 'player_assist': {'href': None}}",4316294
